school ,tot,min,dis,stw
AMHERST MIDDLE SCHOOL,657,0.26,0.25,0
HORSEHEADS MIDDLE SCHOOL,644,0.09,0.25,0
A M COSGROVE MIDDLE SCHOOL,900,0.15,0.26,0
DAKE JUNIOR HIGH SCHOOL,575,0.23,0.26,0
ARGYLE JUNIOR/SENIOR HIGH SCHOOL,293,0.04,0.26,0
BALLSTON SPA MIDDLE SCHOOL,986,0.04,0.26,0
STILLWATER MIDDLE SCHOOL HIGH SCHOOL,657,0.04,0.26,0
UNION SPRINGS MIDDLE SCHOOL HIGH SCHOOL,442,0.04,0.26,0
GALWAY JUNIOR/SENIOR HIGH SCHOOL,486,0.03,0.26,0
RONKONKOMA MIDDLE SCHOOL,748,0.19,0.26,0
CALEDONIA-MUMFORD MIDDLE SCHOOL,215,0.06,0.26,0
AVON MIDDLE SCHOOL,307,0.09,0.26,0
PARKWAY MIDDLE SCHOOL,249,0.04,0.26,0
ELBA JUNIOR-SENIOR HIGH SCHOOL,208,0.16,0.26,0
LONG BEACH MIDDLE SCHOOL,835,0.38,0.26,0
CHURCHVILLE-CHILI MIDDLE SCHOOL,1287,0.17,0.27,0
NYACK MIDDLE SCHOOL,684,0.48,0.27,0
GENERAL BROWN JUNIOR-SENIOR HIGH SCHOOL,689,0.07,0.27,0
VALLEY STREAM MEMORIAL JUNIOR HIGH SCHOOL,983,0.88,0.27,0
PEMBROKE JUNIOR-SENIOR HIGH SCHOOL,469,0.04,0.27,0
EAST HAMPTON MIDDLE SCHOOL,339,0.50,0.27,0
JOHN G BORDEN MIDDLE SCHOOL,502,0.23,0.27,0
ROGERS MIDDLE SCHOOL,447,0.30,0.28,0
ALEXANDER MIDDLE SCHOOL-HIGH SCHOOL,499,0.03,0.28,0
MAINE-ENDWELL MIDDLE SCHOOL,557,0.07,0.28,0
DAWNWOOD MIDDLE SCHOOL,1170,0.23,0.28,0
FRANKFORT-SCHUYLER MIDDLE SCHOOL,242,0.05,0.28,0
LAKE PLACID JUNIOR-SENIOR HIGH SCHOOL,402,0.06,0.28,0
SOULE ROAD MIDDLE SCHOOL,500,0.15,0.28,0
HOOSIC VALLEY MIDDLE SCHOOL,326,0.02,0.28,0
PORTVILLE JUNIOR-SENIOR HIGH SCHOOL,434,0.04,0.28,0
LIVONIA MIDDLE SCHOOL,411,0.03,0.28,0
ELLICOTTVILLE MIDDLE SCHOOL HIGH SCHOOL,309,0.06,0.28,0
CANANDAIGUA MIDDLE SCHOOL,841,0.09,0.29,0
CLARKE MIDDLE SCHOOL,1041,0.25,0.29,0
ALDEN MIDDLE SCHOOL,684,0.03,0.29,0
AKRON MIDDLE SCHOOL,343,0.16,0.29,0
SAND CREEK MIDDLE SCHOOL,821,0.28,0.29,0
ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL,315,0.06,0.30,0
HOMER JUNIOR HIGH SCHOOL,338,0.03,0.30,0
ALBERT LEONARD MIDDLE SCHOOL,1200,0.56,0.30,0
ALLEGANY-LIMESTONE MIDDLE SCHOOL,265,0.08,0.30,0
GERMANTOWN JUNIOR-SENIOR HIGH SCHOOL,244,0.09,0.30,0
SOUTHWESTERN MIDDLE SCHOOL,343,0.09,0.30,0
NORTH SYRACUSE JUNIOR HIGH SCHOOL,1478,0.12,0.30,0
FRONTIER MIDDLE SCHOOL,1175,0.07,0.31,0
LINDENHURST MIDDLE SCHOOL,1539,0.22,0.31,0
ELDRED JUNIOR-SENIOR HIGH SCHOOL,309,0.10,0.31,0
BOYNTON MIDDLE SCHOOL,540,0.28,0.32,0
FREWSBURG JUNIOR-SENIOR HIGH SCHOOL,372,0.04,0.32,0
MARLBORO MIDDLE SCHOOL,457,0.20,0.32,0
ORISKANY JUNIOR-SENIOR HIGH SCHOOL,298,0.08,0.32,0
FREDONIA MIDDLE SCHOOL,481,0.15,0.32,0
BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,513,0.03,0.32,0
THOUSAND ISLANDS MIDDLE SCHOOL,246,0.07,0.33,0
